MM/DD/YYYY,ID,YEAR,MONTH,DAY,TOBS,TOBS_FLAGS,SNWD,SNWD_FLAGS,MDPR,MDPR_FLAGS,WT01,WT01_FLAGS,TMIN,TMIN_FLAGS,DAPR,DAPR_FLAGS,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS,TMAX,TMAX_FLAGS,WT03,WT03_FLAGS
1959-01-13,USC00047767,1959,01,13,139.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-01-14,USC00047767,1959,01,14,133.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-01-15,USC00047767,1959,01,15,128.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-01-16,USC00047767,1959,01,16,139.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-17,USC00047767,1959,01,17,100.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-18,USC00047767,1959,01,18,117.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-19,USC00047767,1959,01,19,139.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-20,USC00047767,1959,01,20,117.0,__0,0.0,__0,nan,nan,nan,nan,56.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
1959-01-21,USC00047767,1959,01,21,117.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-01-22,USC00047767,1959,01,22,128.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-01-23,USC00047767,1959,01,23,150.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-01-24,USC00047767,1959,01,24,133.0,__0,0.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan,0.0,__0,117.0,__0,150.0,__0,nan,nan
1959-01-25,USC00047767,1959,01,25,128.0,__0,0.0,__0,nan,nan,nan,nan,122.0,__0,nan,nan,0.0,__0,23.0,__0,150.0,__0,nan,nan
1959-01-26,USC00047767,1959,01,26,128.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-01-27,USC00047767,1959,01,27,144.0,__0,0.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan,0.0,__0,64.0,__0,144.0,__0,nan,nan
1959-01-28,USC00047767,1959,01,28,133.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-29,USC00047767,1959,01,29,117.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
1959-01-30,USC00047767,1959,01,30,128.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,0.0,__0,139.0,__0,nan,nan
1959-01-31,USC00047767,1959,01,31,139.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-02-01,USC00047767,1959,02,1,156.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,178.0,__0,nan,nan
1959-02-02,USC00047767,1959,02,2,128.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-02-03,USC00047767,1959,02,3,133.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-02-04,USC00047767,1959,02,4,139.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-02-05,USC00047767,1959,02,5,133.0,__0,0.0,__0,nan,nan,nan,nan,44.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-02-06,USC00047767,1959,02,6,122.0,__0,0.0,__0,nan,nan,nan,nan,39.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
1959-02-07,USC00047767,1959,02,7,111.0,__0,0.0,__0,nan,nan,nan,nan,39.0,__0,nan,nan,0.0,__0,0.0,__0,122.0,__0,nan,nan
1959-02-08,USC00047767,1959,02,8,106.0,__0,0.0,__0,nan,nan,nan,nan,22.0,__0,nan,nan,0.0,__0,0.0,__0,122.0,__0,nan,nan
1959-02-09,USC00047767,1959,02,9,117.0,_I0,0.0,__0,nan,nan,nan,nan,17.0,__0,nan,nan,0.0,__0,84.0,__0,128.0,__0,nan,nan
1959-02-10,USC00047767,1959,02,10,94.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,178.0,__0,106.0,_I0,nan,nan
1959-02-11,USC00047767,1959,02,11,100.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,33.0,__0,117.0,__0,nan,nan
1959-02-12,USC00047767,1959,02,12,111.0,__0,0.0,__0,nan,nan,nan,nan,33.0,__0,nan,nan,0.0,__0,5.0,__0,128.0,__0,nan,nan
1959-02-13,USC00047767,1959,02,13,122.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,144.0,__0,nan,nan
1959-02-14,USC00047767,1959,02,14,128.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,133.0,__0,nan,nan
1959-02-15,USC00047767,1959,02,15,122.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,140.0,__0,133.0,__0,nan,nan
1959-02-16,USC00047767,1959,02,16,139.0,__0,0.0,__0,nan,nan,nan,nan,111.0,__0,nan,nan,0.0,__0,196.0,__0,161.0,__0,nan,nan
1959-02-17,USC00047767,1959,02,17,128.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,330.0,__0,156.0,__0,nan,nan
1959-02-18,USC00047767,1959,02,18,128.0,__0,0.0,__0,nan,nan,nan,nan,106.0,__0,nan,nan,0.0,__0,25.0,__0,156.0,__0,nan,nan
1959-02-19,USC00047767,1959,02,19,128.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-02-20,USC00047767,1959,02,20,78.0,__0,0.0,__0,nan,nan,nan,nan,11.0,__0,nan,nan,0.0,__0,130.0,__0,128.0,__0,nan,nan
1959-02-21,USC00047767,1959,02,21,111.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,117.0,__0,nan,nan
1959-02-22,USC00047767,1959,02,22,117.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,71.0,__0,122.0,__0,nan,nan
1959-02-23,USC00047767,1959,02,23,128.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,8.0,__0,161.0,__0,nan,nan
1959-02-24,USC00047767,1959,02,24,128.0,__0,0.0,__0,nan,nan,nan,nan,50.0,__0,nan,nan,0.0,__0,5.0,__0,144.0,__0,nan,nan
1959-02-25,USC00047767,1959,02,25,133.0,_I0,0.0,__0,nan,nan,nan,nan,61.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
1959-02-26,USC00047767,1959,02,26,167.0,__0,0.0,__0,nan,nan,nan,nan,144.0,_I0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1959-02-27,USC00047767,1959,02,27,156.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-02-28,USC00047767,1959,02,28,150.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-03-01,USC00047767,1959,03,1,161.0,__0,0.0,__0,nan,nan,nan,nan,89.0,__0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1959-03-02,USC00047767,1959,03,2,144.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,161.0,__0,nan,nan
1959-03-03,USC00047767,1959,03,3,183.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,200.0,__0,nan,nan
1959-03-04,USC00047767,1959,03,4,161.0,__0,0.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan,0.0,__0,0.0,__0,228.0,__0,nan,nan
1959-03-05,USC00047767,1959,03,5,150.0,__0,0.0,__0,nan,nan,nan,nan,94.0,__0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1959-03-06,USC00047767,1959,03,6,139.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,211.0,__0,nan,nan
1959-03-07,USC00047767,1959,03,7,144.0,__0,0.0,__0,nan,nan,nan,nan,83.0,__0,nan,nan,0.0,__0,0.0,__0,206.0,__0,nan,nan
1959-03-08,USC00047767,1959,03,8,156.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,211.0,__0,nan,nan
1959-03-09,USC00047767,1959,03,9,139.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-03-10,USC00047767,1959,03,10,139.0,__0,0.0,__0,nan,nan,nan,nan,67.0,__0,nan,nan,0.0,__0,0.0,__0,156.0,__0,nan,nan
1959-03-11,USC00047767,1959,03,11,161.0,__0,0.0,__0,nan,nan,nan,nan,72.0,__0,nan,nan,0.0,__0,0.0,__0,217.0,__0,nan,nan
1959-03-12,USC00047767,1959,03,12,150.0,__0,0.0,__0,nan,nan,nan,nan,78.0,__0,nan,nan,0.0,__0,0.0,__0,172.0,__0,nan,nan
1959-03-13,USC00047767,1959,03,13,117.0,__0,0.0,__0,nan,nan,nan,nan,100.0,__0,nan,nan,0.0,__0,0.0,__0,150.0,__0,nan,nan
